year,lat,lng
2016,33.325091,44.422353
2016,33.389934,44.460652
2016,33.223512,44.434701
2016,32.268717,75.655513
2016,32.244186,75.434659
2016,34.550597,69.161001
2016,37.332346,42.185474
2016,38.064584,40.381766
2016,2.084603,45.379503
2016,2.046152,45.321453
2016,-1.717706,40.966872
2016,44.93348,4.89236
2016,2.046152,45.318162
2016,13.735085,123.416094
2016,-6.914542,107.607839
2016,13.659076,46.030868
2016,33.686185,43.473259
2016,33.43364,43.292482
2016,-3.382936,29.366749
2016,-3.382936,29.366749
2016,22.655452,89.766153
2016,32.371994,62.125243
2016,34.135078,71.739864
2016,6.719201,101.417104
2016,18.219809,42.505304
2016,32.077938,34.789568
2016,12.167309,31.303206
2016,2.046152,45.321453
2016,25.740541,84.824858
2016,25.740541,84.824858
2016,26.033251,90.664969
2016,31.386967,73.19986
2016,8.183063,126.350176
2016,32.98499,44.35676
2016,33.297541,44.290516
2016,33.393865,44.530613
2016,33.435279,43.281158
2016,32.264338,75.642112
2016,2.046152,45.321453
2016,25.330177,90.56345
2016,7.018486,124.473881
2016,33.537227,44.26214
2016,35.798868,43.294887
2016,33.349996,43.783118
2016,33.416682,43.300009
2016,18.493249,81.30689
2016,13.578264,44.02042
2016,32.043339,20.134295
2016,11.957352,31.031789
2016,34.973533,71.345586
2016,33.302887,62.158967
2016,32.447202,65.057528
2016,33.298549,44.395746
2016,33.583401,71.433219
2016,54.356102,-6.276561
2016,43.265841,-118.844083
2016,33.347518,44.40288
2016,33.254746,44.505496
2016,33.464423,44.153582
2016,34.675551,43.550642
2016,32.487236,44.456112
2016,32.531145,44.411396
2016,32.889585,44.347304
2016,36.710857,67.118442
2016,34.030549,71.664907
2016,30.189351,66.99785
2016,26.13422,62.308159
2016,4.685335,46.622317
2016,33.055448,43.714248
2016,34.266661,42.528929
2016,34.533753,43.483738
2016,33.686367,43.472891
2016,33.27264,44.299996
2016,33.216563,44.334786
2016,33.295551,44.341653
2016,36.356648,43.164
2016,36.229574,42.236244
2016,31.524067,35.110808
2016,31.532587,35.099625
2016,31.749896,35.236014
2016,38.059761,40.388604
2016,20.503291,82.604501
2016,7.967393,8.054414
2016,8.547828,7.7119
2016,34.094312,71.145726
2016,24.745719,84.380489
2016,7.19522,79.860072
2016,33.079245,44.25308
2016,33.325035,44.422723
2016,38.064584,40.381766
2016,32.221795,65.081911
2016,6.582303,122.179241
2016,12.799683,45.033201
2016,4.649988,46.544292
2016,37.2487,42.4713
2016,33.325503,44.420383
2016,33.325312,44.421646
2016,33.369722,44.2775
2016,34.567611,69.211171
2016,34.567611,69.211171
2016,34.202947,72.067521
2016,30.185399,66.999133
2016,30.632848,18.348842
2016,30.585546,18.412876
2016,36.265677,68.0174
2016,32.071931,64.838837
2016,2.397074,45.019459
2016,2.714609,44.511134
2016,34.262694,70.707774
2016,31.132295,33.804338
2016,31.213473,34.108184
2016,31.282751,34.237285
2016,-3.382936,29.366749
2016,-3.382936,29.366749
2016,31.486251,74.255714
2016,15.460769,45.321906
2016,31.802739,35.21123
2016,33.289753,35.720002
2016,38.064584,40.381766
2016,18.490897,81.29308
2016,11.00121,13.328747
2016,11.918714,14.643766
2016,10.86919,12.847792
2016,2.046152,45.321453
2016,26.583456,49.983074
2016,33.324681,44.422352
2016,25.651417,90.60741
2016,34.14041,42.377598
2016,32.889585,44.347304
2016,31.134412,33.80057
2016,50.029388,8.694832
2016,2.779159,32.298282
2016,12.773026,45.038053
2016,32.275033,69.866396
2016,14.542247,49.123178
2016,26.61635,86.702071
2016,30.477089,18.578978
2016,34.434656,70.446952
2016,31.499713,65.000854
2016,34.536282,69.183842
2016,30.632848,18.348842
2016,33.366703,44.363285
2016,33.325915,44.420385
2016,33.649346,44.266472
2016,33.079176,44.253059
2016,33.30501,44.488807
2016,33.30073,44.453576
2016,29.074141,31.098383
2016,12.799478,45.032803
2016,33.416443,43.299799
2016,33.416853,43.300289
2016,31.647329,35.132364
2016,17.951783,82.304488
2016,18.13407,82.618672
2016,34.874939,62.824053
2016,11.506466,12.966155
2016,34.217513,69.11352
2016,26.554865,49.995568
2016,9.925267,78.119732
2016,9.925201,78.119775
2016,9.924872,78.112438
2016,32.041038,42.254701
2016,33.546135,44.41378
2016,35.324825,43.766922
2016,35.324825,43.766922
2016,37.518974,42.453714
2016,23.064821,85.273322
2016,18.487408,80.974881
2016,-19.349359,34.267474
2016,34.73133,36.710204
2016,7.359251,125.857986
2016,30.17577,67.007473
2016,15.369445,44.191007
2016,37.251526,42.47857
2016,7.050475,124.634024
2016,27.549842,85.333524
2016,15.460769,45.321906
2016,32.984057,70.613998
2016,12.57511,14.454017
2016,36.380825,38.178571
2016,6.231605,101.501419
2016,32.582086,70.06193
2016,33.519534,36.289908
2016,33.513773,36.289908
2016,2.339047,42.288006
2016,12.828622,44.796322
2016,12.799683,45.033201
2016,12.875104,45.011261
2016,15.449571,45.018785
2016,15.369445,44.191007
2016,33.25154,44.391928
2016,13.578038,44.022298
2016,13.573242,44.030691
2016,36.731911,70.14396
2016,33.223512,44.434701
2016,18.881486,81.152792
2016,12.0592,124.61495
2016,11.276421,14.247683
2016,2.055762,45.331167
2016,35.22645,71.528005
2016,33.602571,69.218075
2016,26.583456,49.983074
2016,35.959411,38.998105
2016,33.705026,75.247849
2016,25.00221,67.132022
2016,28.63312,69.183807
2016,41.038457,28.97006
2016,37.215806,68.996048
2016,6.142229,101.649514
2016,32.407892,14.622688
2016,32.766207,22.633607
2016,29.999925,31.17618
2016,31.062082,33.812483
2016,30.587501,18.420067
2016,2.04013,45.336808
2016,2.055762,45.331167
2016,14.685051,24.849351
2016,33.100298,44.583139
2016,33.229278,44.384696
2016,23.552801,89.175463
2016,35.641896,64.266921
2016,-0.710704,29.055307
2016,3.315556,43.469444
2016,39.956614,-75.242429
2016,48.888876,2.355603
2016,34.196041,43.893001
2016,33.310823,44.4398
2016,33.423154,44.401699
2016,33.333366,44.330752
2016,36.356648,43.164
2016,18.723419,82.209718
2016,31.647329,35.132364
2016,31.566133,35.129595
2016,17.818643,81.381156
2016,13.358975,123.291464
2016,33.512648,70.289268
2016,24.751282,93.938964
2016,17.25564,42.727309
2016,17.294844,42.695584
2016,34.099192,42.389273
2016,21.805176,83.606235
2016,43.089292,12.440992
2016,32.378006,15.093365
2016,48.3071,38.029633
2016,54.613912,-5.951876
2016,16.771051,-3.004095
2016,30.184556,66.998761
2016,27.213285,33.841131
2016,37.006789,66.071375
2016,32.169764,13.016874
2016,26.007682,63.038645
2016,2.046152,45.321453
2016,34.082722,70.666734
2016,33.100298,44.583139
2016,8.237364,46.325939
2016,19.006331,82.9993
2016,34.184341,36.420058
2016,32.320237,69.859741
2016,6.343474,101.304675
2016,34.538965,62.168193
2016,32.19778,20.131461
2016,18.852033,81.487676
2016,32.157367,65.017472
2016,31.474478,64.1025
2016,31.4618,64.092528
2016,10.810451,14.637005
2016,9.539916,8.90002
2016,34.503519,71.897614
2016,25.495813,90.616669
2016,25.33601,61.773224
2016,29.929591,31.185928
2016,2.298653,45.798429
